販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025年25週(2025/09/15~2025/09/21),23,"¥446,423",131.40%,32,"¥100,101",61.30%,25,"¥336,296",93.20%,24,"¥2,540,839",133.10%,51,¥0,0.00%,49,¥0,0.00%,28,"¥6,686,548",95.90%,15,"¥2,092,331",176.80%,10,"¥197,237",182.00%,21,"¥542,182",98.20%,2,"¥14,069,164",107.30%,2,"¥4,616,400",88.80%,14,"¥187,546",52.80%,15,"¥779,996",71.10%,52,"¥31,743",189.30%,40,"¥2,288,310",97.30%,7,"¥2,825,644",105.40%,22,"¥3,274,749",76.10%,8,"¥24,720",60.00%,42,"¥893,273",140.50%,25,¥0,0.00%,47,"¥1,168",3.00%,24,"¥30,620",81.90%,46,"¥1,439",2.70%
2025年26週(2025/09/22~2025/09/28),25,"¥411,011",115.90%,33,"¥89,760",61.80%,22,"¥343,198",101.70%,22,"¥2,791,249",141.70%,52,¥0,0.00%,39,¥780,0.00%,25,"¥6,853,329",91.30%,20,"¥622,330",72.10%,21,"¥157,913",99.40%,25,"¥473,862",108.50%,3,"¥13,405,522",100.00%,1,"¥4,982,801",98.20%,19,"¥128,994",45.90%,14,"¥1,364,594",82.40%,49,"¥39,123",272.10%,38,"¥2,393,945",91.30%,4,"¥2,969,622",154.90%,23,"¥3,005,849",90.40%,34,"¥12,580",28.40%,41,"¥903,524",123.20%,26,¥0,0.00%,44,"¥2,110",5.70%,16,"¥35,870",105.50%,8,"¥61,855",182.40%
2025年27週(2025/09/29~2025/10/05),28,"¥380,075",111.40%,35,"¥73,266",47.50%,33,"¥285,491",92.20%,23,"¥2,775,257",155.70%,46,"¥9,420",41.50%,40,¥780,0.00%,26,"¥6,852,043",97.50%,22,"¥346,002",71.40%,20,"¥161,730",90.00%,26,"¥443,080",106.80%,6,"¥12,729,499",96.40%,3,"¥4,453,710",99.90%,22,"¥61,089",32.20%,12,"¥1,671,061",88.90%,31,"¥71,330",393.00%,37,"¥2,616,815",89.20%,10,"¥2,362,266",102.40%,26,"¥2,467,385",84.70%,36,"¥12,360",32.30%,33,"¥1,021,758",122.80%,27,¥0,0.00%,48,"¥1,098",3.00%,12,"¥37,070",82.90%,51,"¥-4,924",-49.20%
2025年28週(2025/10/06~2025/10/12),29,"¥373,361",105.80%,37,"¥71,892",49.40%,30,"¥302,973",101.60%,21,"¥2,977,550",133.70%,43,"¥17,180",66.90%,50,¥0,0.00%,27,"¥6,847,019",98.00%,24,"¥240,934",71.80%,12,"¥185,587",126.80%,27,"¥373,470",95.10%,4,"¥13,041,230",94.00%,4,"¥4,436,654",128.10%,13,"¥200,746",84.70%,10,"¥2,374,928",87.20%,48,"¥39,733",414.60%,32,"¥3,023,735",86.80%,9,"¥2,363,302",115.30%,30,"¥2,220,959",88.70%,28,"¥13,960",41.80%,37,"¥1,003,794",114.30%,28,¥0,0.00%,43,"¥2,528",7.20%,5,"¥53,350",153.80%,34,"¥8,010",170.10%
2025年29週(2025/10/13~2025/10/19),27,"¥394,056",114.90%,39,"¥62,278",50.20%,27,"¥317,784",105.90%,19,"¥3,090,929",116.80%,42,"¥17,280",114.00%,43,¥699,50.00%,29,"¥6,671,025",93.60%,25,"¥186,362",71.80%,15,"¥170,094",205.00%,35,"¥264,221",73.50%,8,"¥12,131,905",93.10%,8,"¥3,352,777",124.30%,17,"¥152,809",49.50%,7,"¥3,211,577",89.70%,37,"¥50,317",390.90%,30,"¥3,189,829",74.90%,11,"¥2,025,189",89.00%,27,"¥2,315,989",110.50%,38,"¥12,000",35.20%,29,"¥1,065,058",119.40%,29,¥0,0.00%,42,"¥2,898",7.70%,7,"¥47,570",108.50%,13,"¥49,842",47.40%
2025年30週(2025/10/20~2025/10/26),33,"¥274,922",90.90%,38,"¥67,634",69.20%,40,"¥254,237",79.20%,18,"¥3,466,121",109.80%,40,"¥18,360",128.30%,44,¥1,0.20%,31,"¥6,630,345",92.60%,28,"¥73,317",58.70%,31,"¥58,689",108.40%,36,"¥263,962",71.30%,12,"¥9,708,587",87.50%,10,"¥2,329,253",114.00%,16,"¥177,557",38.40%,6,"¥3,436,899",83.20%,23,"¥265,567",105.10%,24,"¥3,706,272",92.20%,12,"¥1,973,046",76.30%,32,"¥1,932,288",104.10%,39,"¥11,920",43.20%,22,"¥1,096,931",125.30%,30,¥0,0.00%,46,"¥1,319",3.50%,14,"¥37,010",74.50%,38,"¥6,078",81.30%
2025年31週(2025/10/27~2025/11/02),30,"¥310,837",107.80%,44,"¥52,500",65.10%,34,"¥275,534",102.10%,16,"¥4,052,847",120.00%,41,"¥18,360",183.30%,51,¥0,0.00%,36,"¥6,416,082",97.50%,29,"¥46,434",141.30%,40,"¥27,406",82.00%,45,"¥176,853",75.50%,13,"¥8,423,320",85.80%,12,"¥1,714,059",123.50%,15,"¥182,761",21.10%,4,"¥3,663,248",94.50%,19,"¥533,053",146.90%,16,"¥4,163,154",92.20%,13,"¥1,294,391",71.60%,33,"¥1,898,914",106.80%,21,"¥17,520",77.20%,30,"¥1,053,868",126.80%,31,¥0,0.00%,52,¥250,0.70%,9,"¥43,670",142.90%,9,"¥59,910",107.50%
2025年32週(2025/11/03~2025/11/09),31,"¥285,982",94.00%,43,"¥53,316",68.00%,38,"¥263,964",104.20%,13,"¥4,727,171",112.40%,44,"¥14,020",91.50%,52,¥0,0.00%,37,"¥6,380,353",90.60%,30,"¥12,963",68.70%,37,"¥43,530",156.00%,40,"¥215,846",85.10%,15,"¥6,928,791",76.40%,13,"¥1,269,535",112.60%,10,"¥491,724",41.60%,1,"¥3,906,285",102.00%,21,"¥505,013",142.10%,3,"¥5,113,728",94.50%,15,"¥981,549",82.80%,34,"¥1,892,263",107.60%,48,"¥8,000",34.20%,18,"¥1,108,764",127.90%,32,¥0,0.00%,51,¥599,1.70%,13,"¥37,030",99.90%,19,"¥27,931",27.30%
2025年33週(2025/11/10~2025/11/16),32,"¥277,236",108.60%,40,"¥62,168",77.00%,41,"¥252,450",100.00%,11,"¥5,424,635",116.60%,39,"¥20,380",132.20%,36,"¥125,069",51.10%,33,"¥6,580,558",98.30%,34,"¥3,246",37.70%,43,"¥22,395",55.70%,50,"¥146,213",63.50%,16,"¥5,999,162",79.20%,15,"¥920,262",100.40%,3,"¥884,511",78.40%,2,"¥3,868,817",84.20%,16,"¥651,993",127.20%,1,"¥5,501,582",106.00%,22,"¥632,798",75.90%,37,"¥1,722,895",101.90%,52,"¥4,800",16.90%,32,"¥1,030,838",106.80%,33,¥0,0.00%,41,"¥2,998",8.30%,17,"¥35,780",132.60%,49,¥-921,-5.70%
2025年34週(2025/11/17~2025/11/23),34,"¥243,080",104.10%,42,"¥59,533",80.10%,47,"¥245,245",98.20%,10,"¥5,812,867",108.20%,37,"¥74,716",172.90%,29,"¥1,069,852",55.90%,40,"¥6,200,506",95.20%,33,"¥3,349",32.70%,39,"¥34,357",57.50%,47,"¥162,880",58.80%,18,"¥4,760,295",82.40%,16,"¥776,430",133.50%,4,"¥882,573",80.50%,3,"¥3,760,465",94.70%,18,"¥602,855",82.40%,7,"¥4,986,790",91.50%,30,"¥316,491",66.00%,41,"¥1,640,281",102.90%,35,"¥12,580",42.10%,39,"¥988,617",118.90%,34,¥0,0.00%,49,"¥1,098",3.10%,25,"¥30,580",125.10%,21,"¥20,895",-2371.70%
2025年35週(2025/11/24~2025/11/30),38,"¥225,837",106.00%,41,"¥61,822",95.10%,48,"¥245,143",103.40%,8,"¥6,617,657",113.90%,36,"¥223,860",247.40%,28,"¥2,222,031",70.00%,34,"¥6,559,352",101.80%,32,"¥3,549",323.20%,46,"¥20,799",37.40%,42,"¥188,300",99.80%,20,"¥3,765,647",84.60%,18,"¥601,917",132.30%,5,"¥854,743",81.80%,5,"¥3,577,424",91.10%,14,"¥687,405",105.00%,12,"¥4,656,521",97.00%,27,"¥449,341",260.00%,42,"¥1,626,413",108.80%,23,"¥15,560",54.40%,28,"¥1,070,049",120.70%,35,¥0,0.00%,32,"¥6,519",18.00%,22,"¥31,110",118.60%,15,"¥38,204",34.50%
2025年36週(2025/12/01~2025/12/07),36,"¥231,819",109.80%,25,"¥131,166",173.80%,46,"¥248,034",99.90%,5,"¥7,432,783",107.60%,34,"¥321,657",83.10%,25,"¥4,473,741",96.90%,35,"¥6,528,041",104.10%,35,¥250,55.60%,44,"¥21,540",37.60%,34,"¥274,836",104.80%,23,"¥2,852,381",76.30%,17,"¥614,330",198.10%,2,"¥904,563",86.50%,8,"¥3,149,162",80.20%,10,"¥1,035,952",87.10%,14,"¥4,490,161",96.90%,35,"¥94,726",173.70%,44,"¥1,552,010",104.90%,49,"¥7,560",24.60%,31,"¥1,052,806",113.70%,36,¥0,0.00%,34,"¥5,688",15.60%,8,"¥43,900",104.40%,17,"¥30,584",49.70%
2025年37週(2025/12/08~2025/12/14),52,"¥178,165",95.20%,13,"¥145,579",98.30%,45,"¥248,043",104.70%,6,"¥6,829,070",110.00%,28,"¥453,982",72.00%,22,"¥5,255,607",99.80%,47,"¥5,918,135",101.50%,37,¥0,0.00%,50,"¥12,949",25.00%,41,"¥190,140",55.60%,28,"¥2,091,325",81.50%,19,"¥440,975",228.10%,8,"¥777,278",86.00%,9,"¥2,508,467",76.40%,8,"¥1,364,491",88.40%,22,"¥3,901,815",96.20%,37,"¥31,586",202.30%,49,"¥1,411,988",102.90%,40,"¥11,340",39.70%,24,"¥1,074,965",116.40%,37,¥0,0.00%,36,"¥4,656",11.10%,19,"¥33,870",87.20%,25,"¥17,589",117.90%
2025年38週(2025/12/15~2025/12/21),49,"¥189,476",103.40%,18,"¥138,371",56.80%,39,"¥263,774",107.90%,7,"¥6,800,298",98.10%,27,"¥600,502",71.00%,21,"¥6,058,111",103.20%,39,"¥6,280,733",93.60%,38,¥0,0.00%,48,"¥17,497",28.70%,44,"¥180,000",61.10%,29,"¥2,050,973",80.30%,21,"¥352,394",267.80%,6,"¥845,826",85.40%,11,"¥2,128,060",77.00%,5,"¥1,567,311",78.80%,20,"¥3,965,983",101.50%,38,"¥29,100",205.80%,46,"¥1,470,914",97.40%,24,"¥15,120",68.60%,35,"¥1,017,706",107.40%,38,¥0,0.00%,39,"¥3,724",9.60%,20,"¥33,290",59.60%,4,"¥79,255",244.80%
2025年39週(2025/12/22~2025/12/28),35,"¥238,520",115.70%,7,"¥174,390",57.50%,16,"¥381,535",93.80%,2,"¥9,461,789",82.00%,25,"¥1,041,450",65.10%,16,"¥10,179,658",112.40%,21,"¥7,407,445",93.00%,39,¥0,0.00%,42,"¥23,980",27.50%,24,"¥499,780",74.70%,24,"¥2,570,909",70.60%,22,"¥251,733",331.30%,1,"¥960,189",79.10%,13,"¥1,425,272",95.60%,2,"¥2,517,031",84.20%,2,"¥5,238,585",88.20%,39,"¥5,735",87.50%,35,"¥1,801,164",97.60%,41,"¥11,320",32.30%,1,"¥1,392,578",116.20%,39,¥0,0.00%,45,"¥1,495",6.50%,1,"¥4,485,703",76.90%,20,"¥21,738",67.10%
2025年40週(2025/12/29~2026/01/04),51,"¥181,458",117.80%,23,"¥132,527",61.00%,21,"¥345,544",115.50%,1,"¥12,709,744",104.20%,24,"¥1,284,017",82.80%,1,"¥16,927,789",109.70%,48,"¥5,884,953",99.70%,40,¥0,0.00%,35,"¥48,280",75.30%,22,"¥529,300",111.50%,21,"¥3,703,856",86.90%,23,"¥182,242",6224.10%,7,"¥787,104",86.40%,16,"¥560,376",82.70%,1,"¥2,554,530",122.70%,4,"¥5,070,898",107.40%,45,¥798,0.00%,40,"¥1,675,703",105.60%,16,"¥19,920",55.90%,7,"¥1,201,551",126.30%,40,¥0,0.00%,38,"¥3,745",197.60%,2,"¥3,135,763",180.70%,35,"¥7,913",110.80%
2025年41週(2026/01/05~2026/01/11),47,"¥203,518",128.90%,27,"¥124,405",58.20%,51,"¥219,905",108.20%,3,"¥8,461,609",104.70%,23,"¥1,292,159",91.30%,18,"¥8,782,978",106.80%,51,"¥5,784,231",97.50%,41,¥0,0.00%,47,"¥17,747",28.20%,51,"¥134,800",52.50%,31,"¥1,714,145",83.00%,25,"¥109,342",5062.10%,9,"¥548,066",85.80%,17,"¥446,083",86.40%,3,"¥1,711,126",127.90%,5,"¥5,011,527",109.30%,44,"¥1,457",0.00%,52,"¥1,309,296",101.30%,44,"¥10,180",46.30%,36,"¥1,005,599",119.10%,41,¥0,0.00%,28,"¥9,372",33.60%,37,"¥16,370",105.10%,50,"¥-3,856",-36.60%
2025年42週(2026/01/12~2026/01/18),37,"¥228,749",119.00%,15,"¥140,300",52.80%,50,"¥235,665",117.70%,4,"¥7,767,135",103.60%,21,"¥2,342,480",127.80%,15,"¥10,660,602",113.40%,49,"¥5,859,057",95.50%,42,¥0,0.00%,45,"¥21,200",48.40%,39,"¥226,880",111.70%,32,"¥1,616,573",81.20%,24,"¥133,329",0.00%,11,"¥435,561",80.80%,18,"¥334,666",90.60%,4,"¥1,593,543",114.70%,6,"¥4,991,903",101.00%,40,"¥3,500",0.00%,50,"¥1,339,022",101.40%,29,"¥13,960",59.50%,26,"¥1,074,512",115.60%,42,¥0,0.00%,31,"¥6,869",20.40%,44,"¥13,830",94.10%,5,"¥76,993",116.20%
2025年43週(2026/01/19~2026/01/25),50,"¥187,644",108.60%,21,"¥133,636",55.10%,52,"¥213,001",95.90%,9,"¥6,145,801",94.70%,19,"¥3,276,771",131.30%,13,"¥11,033,664",110.70%,52,"¥5,626,525",86.10%,43,¥0,0.00%,51,"¥12,600",53.80%,48,"¥156,800",88.30%,34,"¥1,407,183",67.90%,26,"¥66,681",0.00%,12,"¥291,795",63.30%,19,"¥293,216",95.30%,7,"¥1,404,082",110.30%,11,"¥4,762,610",94.90%,46,¥0,0.00%,51,"¥1,338,876",99.80%,50,"¥7,540",21.30%,25,"¥1,074,723",97.60%,43,¥0,0.00%,27,"¥11,175",31.20%,51,"¥9,480",53.50%,40,"¥5,885",88.50%
2025年44週(2026/01/26~2026/02/01),45,"¥205,381",102.70%,17,"¥139,742",57.80%,49,"¥240,982",93.90%,12,"¥5,200,532",81.50%,16,"¥3,957,625",121.40%,11,"¥11,631,709",99.20%,46,"¥6,056,330",93.10%,44,¥0,0.00%,49,"¥16,600",46.30%,52,"¥120,200",46.50%,35,"¥1,270,794",65.40%,27,"¥57,627",0.00%,18,"¥138,968",68.00%,20,"¥241,794",89.70%,6,"¥1,504,870",118.60%,10,"¥4,765,675",86.30%,47,¥0,0.00%,47,"¥1,433,218",100.90%,43,"¥10,400",30.00%,13,"¥1,144,556",90.80%,44,¥0,0.00%,30,"¥8,935",23.90%,47,"¥12,460",106.90%,43,"¥3,339",30.10%
2025年45週(2026/02/02~2026/02/08),48,"¥197,575",73.30%,29,"¥121,789",61.80%,44,"¥250,507",105.40%,14,"¥4,657,801",84.90%,14,"¥4,324,997",108.20%,10,"¥12,136,447",125.80%,41,"¥6,165,345",107.10%,45,¥0,0.00%,52,"¥9,497",34.10%,46,"¥170,580",97.90%,37,"¥1,193,130",76.10%,28,"¥49,217",0.00%,21,"¥69,574",75.40%,21,"¥234,249",86.70%,9,"¥1,265,908",114.10%,8,"¥4,952,301",106.70%,48,¥0,0.00%,48,"¥1,427,641",105.00%,30,"¥13,740",50.10%,27,"¥1,070,124",94.30%,45,¥0,0.00%,23,"¥16,321",43.50%,49,"¥11,130",78.60%,24,"¥18,610",31.90%
2025年46週(2026/02/09~2026/02/15),42,"¥211,489",72.00%,9,"¥163,131",68.30%,43,"¥251,121",97.50%,15,"¥4,529,137",87.90%,13,"¥4,414,014",91.60%,6,"¥12,984,029",116.80%,43,"¥6,122,087",103.40%,46,¥0,0.00%,41,"¥24,900",312.80%,43,"¥182,440",72.50%,36,"¥1,251,011",76.10%,30,"¥19,893",0.00%,23,"¥31,911",171.90%,23,"¥210,724",128.50%,11,"¥1,003,642",92.20%,9,"¥4,858,366",99.40%,43,"¥2,000",61.20%,45,"¥1,530,623",112.40%,47,"¥8,360",29.90%,15,"¥1,140,361",93.90%,46,¥0,0.00%,24,"¥15,939",42.10%,43,"¥13,960",80.00%,44,"¥2,681",17.70%
2025年47週(2026/02/16~2026/02/22),44,"¥207,878",76.40%,12,"¥151,185",69.40%,42,"¥251,744",110.50%,17,"¥3,631,297",86.20%,12,"¥4,598,328",99.20%,3,"¥13,714,644",119.60%,45,"¥6,091,137",103.50%,47,¥0,0.00%,38,"¥37,700",120.20%,37,"¥260,920",87.40%,41,"¥925,145",69.60%,31,"¥6,998",0.00%,24,"¥6,095",381.70%,24,"¥161,760",261.40%,12,"¥829,284",83.80%,13,"¥4,638,650",98.30%,41,"¥3,400",0.00%,43,"¥1,599,054",117.10%,25,"¥14,760",56.10%,6,"¥1,202,742",98.60%,47,¥0,0.00%,25,"¥15,235",46.60%,48,"¥11,610",80.70%,29,"¥13,249",56.20%
2025年48週(2026/02/23~2026/03/01),46,"¥203,985",77.00%,6,"¥175,334",74.10%,36,"¥271,791",100.20%,20,"¥3,004,594",84.40%,9,"¥5,107,527",99.80%,2,"¥14,217,746",109.90%,42,"¥6,163,461",99.40%,48,¥0,0.00%,34,"¥50,960",106.70%,38,"¥251,880",79.70%,51,"¥259,816",69.20%,48,¥0,0.00%,48,¥0,0.00%,25,"¥98,462",193.50%,13,"¥754,922",88.10%,15,"¥4,389,879",95.20%,49,¥0,0.00%,38,"¥1,720,783",114.40%,31,"¥13,740",41.60%,14,"¥1,142,890",103.70%,48,¥0,0.00%,26,"¥13,580",37.00%,40,"¥15,880",66.90%,10,"¥59,853",744.50%
2025年49週(2026/03/02~2026/03/08),41,"¥211,499",76.30%,16,"¥139,924",59.90%,37,"¥265,179",92.00%,26,"¥2,362,443",88.30%,11,"¥4,858,236",95.90%,4,"¥13,700,239",100.20%,50,"¥5,801,318",93.60%,49,¥0,0.00%,33,"¥51,780",100.10%,49,"¥150,260",60.20%,52,"¥246,836",78.80%,49,¥0,0.00%,49,¥0,0.00%,28,"¥55,725",129.50%,15,"¥678,324",78.70%,18,"¥4,111,632",93.50%,50,¥0,0.00%,39,"¥1,693,970",123.70%,46,"¥8,800",34.40%,17,"¥1,130,642",93.50%,49,¥0,0.00%,37,"¥3,764",10.20%,52,"¥9,180",48.80%,39,"¥6,012",252.30%
2025年50週(2026/03/09~2026/03/15),39,"¥221,545",79.80%,22,"¥132,864",53.00%,35,"¥274,576",89.40%,27,"¥2,148,337",99.40%,7,"¥5,394,942",104.70%,8,"¥12,240,497",97.80%,44,"¥6,105,408",99.30%,50,¥0,0.00%,36,"¥46,420",83.30%,29,"¥334,271",119.30%,50,"¥376,967",144.30%,50,¥0,0.00%,50,¥0,0.00%,27,"¥64,297",106.60%,17,"¥635,238",123.60%,17,"¥4,149,368",97.60%,51,¥0,0.00%,36,"¥1,784,875",121.10%,37,"¥12,360",32.40%,16,"¥1,132,512",99.00%,50,¥0,0.00%,35,"¥4,721",12.50%,31,"¥21,400",97.60%,52,"¥-9,900",1002.00%
2025年51週(2026/03/16~2026/03/22),43,"¥208,177",45.90%,28,"¥122,551",73.30%,32,"¥290,156",92.80%,39,"¥1,680,468",82.70%,2,"¥5,812,161",100.10%,9,"¥12,180,650",97.30%,38,"¥6,366,681",95.10%,51,¥0,0.00%,32,"¥53,635",58.70%,30,"¥324,920",114.70%,49,"¥442,828",91.40%,51,¥0,0.00%,51,¥0,0.00%,29,"¥51,369",160.30%,20,"¥508,529",127.50%,19,"¥4,068,911",95.80%,52,¥0,0.00%,31,"¥2,062,112",118.30%,10,"¥23,200",55.10%,9,"¥1,168,268",94.10%,51,¥0,0.00%,33,"¥6,281",15.30%,39,"¥15,940",116.70%,48,¥-33,0.00%
2025年52週(2026/03/23~2026/03/29),40,"¥214,943",39.60%,36,"¥72,312",163.10%,31,"¥296,001",93.50%,44,"¥672,956",59.50%,4,"¥5,723,584",95.80%,5,"¥13,052,329",105.40%,30,"¥6,645,018",95.40%,52,¥0,0.00%,27,"¥85,168",116.10%,32,"¥302,255",102.80%,46,"¥527,226",136.70%,52,¥0,0.00%,52,¥0,0.00%,32,"¥37,588",80.10%,22,"¥331,177",131.50%,23,"¥3,862,866",94.90%,42,"¥2,898",6.30%,29,"¥2,291,698",112.30%,33,"¥12,800",34.50%,19,"¥1,108,092",89.70%,52,¥0,0.00%,29,"¥9,362",22.10%,50,"¥9,560",61.90%,3,"¥80,506",471.50%
